"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1151","test_delete_id","testcases_众神_接口测试","Sat Aug 24 16:13:31 CST 2024","passed","Sat Aug 24 16:13:32 CST 2024","","test_delete_id","",""
"","1158","test_Adventure_fighting","testcases_众神_接口测试","Sat Aug 24 16:13:12 CST 2024","passed","Sat Aug 24 16:13:13 CST 2024","","test_ Adventure_fighting","",""
"","20","test_Combat_attribute","testcases_众神_接口测试","Sat Aug 24 16:13:13 CST 2024","passed","Sat Aug 24 16:13:13 CST 2024","","test_Combat_attribute_战斗属性","",""
"","735","test_upgrade","testcases_众神_接口测试","Sat Aug 24 16:13:52 CST 2024","failed","Sat Aug 24 16:13:53 CST 2024","","test_upgrade","",""
"","13269","test_send_gift","testcases_众神_接口测试","Sat Aug 24 16:13:38 CST 2024","passed","Sat Aug 24 16:13:51 CST 2024","","test_magic_Step_up","",""
"","1161","test_Adventure_fighting","testcases_众神_接口测试","Sat Aug 24 16:13:29 CST 2024","passed","Sat Aug 24 16:13:31 CST 2024","","test_challengeHell_lianyu","",""
"","656","test_send_gift","testcases_众神_接口测试","Sat Aug 24 16:13:51 CST 2024","passed","Sat Aug 24 16:13:52 CST 2024","","test_send_gift","",""
"","3450","test_Adventure_fighting","testcases_众神_接口测试","Sat Aug 24 16:13:32 CST 2024","passed","Sat Aug 24 16:13:35 CST 2024","","test_duelPlayer","",""
"","2084","test_Adventure_fighting","testcases_众神_接口测试","Sat Aug 24 16:13:35 CST 2024","passed","Sat Aug 24 16:13:38 CST 2024","","test_godRank_sweep","",""
"","15999","test_send_gift","testcases_众神_接口测试","Sat Aug 24 16:13:13 CST 2024","passed","Sat Aug 24 16:13:29 CST 2024","","test_auxiliarygod_upgrade","",""
"","265","test_send_gift","testcases_众神_接口测试","Sat Aug 24 16:13:38 CST 2024","passed","Sat Aug 24 16:13:38 CST 2024","","test_magic_Activate","",""
"","204","test_Adventure_fighting","testcases_众神_接口测试","Sat Aug 24 16:13:32 CST 2024","passed","Sat Aug 24 16:13:32 CST 2024","","test_demonic_challenge","",""
